"Artikel-Nr.";"Marke";"Bezeichnung";"EAN";"Status";"Sperrgut";"Palletenartikel";"Nicht für Endkunden";"Gewicht (Kg)";"Höhe (cm)";"Breite (cm)";"Tiefe (cm)";"Nachfolger";"Alternativen";"Einheit";"VE";"MwSt";"Endkundenpreis (€)";"Händlerpreis (€)";"Endkunden-Sonderpreis (€)";"Händler-Sonderpreis (€)";"Rabattstaffel 1 (Menge)";"Rabattstaffel 1 (%)";"Rabattstaffel 1(€)";"Rabattstaffel 2 (Menge)";"Rabattstaffel 2 (%)";"Rabattstaffel 2(€)";"Rabattstaffel 3 (Menge)";"Rabattstaffel 3 (%)";"Rabattstaffel 3(€)";"Rabattstaffel 4 (Menge)";"Rabattstaffel 4 (%)";"Rabattstaffel 4(€)";"Rabattstaffel 5 (Menge)";"Rabattstaffel 5 (%)";"Rabattstaffel 5(€)";"Rabattstaffel 6 (Menge)";"Rabattstaffel 6 (%)";"Rabattstaffel 6(€)";"Bestand";"Kommentar"
"109799";"Ventilution";"Ventilution Silent Line, Metall-Rohrventilator, 555 m³/h, für 160 mm Rohr, mit IEC-Stecker, schwarz";"4824032123522";"Normal";"Nein";"Nein";"Nein";7,6;31;63;28;"";"";"St";1;19;"230,70";"135,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"109800";"Ventilution";"Ventilution Silent Line, Metall-Rohrventilator, 1020 m³/h, für 200 mm Rohr, schwarz";"4824032123539";"Normal";"Nein";"Nein";"Nein";10,95;34;59;45;"";"";"St";1;19;"265,00";"155,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 - geringer Bestand";""
"109801";"Ventilution";"Ventilution Silent Line, Metall-Rohrventilator, 1400 m³/h, für 250 mm Rohr, schwarz";"4824032123546";"Normal";"Nein";"Nein";"Nein";17,25;39;69;49;"";"";"St";1;19;"344,50";"196,09";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"109802";"Ventilution";"Ventilution Silent Line, Metall-Rohrventilator, 2050 m³/h, für 315 mm Rohr, schwarz";"4824032123553";"Normal";"Nein";"Ja";"Nein";34,35;48;83;57;"";"";"St";1;19;"413,80";"260,00";"";"228,37";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"109815";"DR. WAX";"DR. WAX Dimethylether (DME), 500 ml (12 Stk./Kt.)VOC: 100 % (669,933 g/l)";"";"Normal";"Nein";"Nein";"Nein";5,4;25;27,5;20,5;"";"";"Kt";1;19;"108,00";"47,00";"";"";"42,000";"6,00";"44,18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"109816";"CenturionPro";"CenturionPro Tabletop Electropolished Wet / Dry, Erntemaschine, für feuchte und trockene Ernte";"4260587871653";"Normal";"Nein";"Ja";"Nein";75;0;0;0;"";"";"St";1;19;"5470,00";"2428,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"109817";"CenturionPro";"CenturionPro Tabletop Quantanium Wet / Dry, Erntemaschine, für feuchte und trockene Ernte";"4260587874203";"Normal";"Nein";"Ja";"Nein";120;0;0;0;"";"";"St";1;19;"6060,00";"2703,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"109820";"CenturionPro";"CenturionPro Mini Electropolished Wet / Dry, Erntemaschine, für feuchte und trockene Ernte";"850019627015";"Normal";"Nein";"Ja";"Nein";125;0;0;0;"";"";"St";1;19;"9160,00";"3595,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 - Bestellware";"Wird gerne für Sie bestellt!"
"109821";"CenturionPro";"CenturionPro Mini Quantanium Wet / Dry, Erntemaschine, für feuchte und trockene Ernte";"";"Normal";"Nein";"Ja";"Nein";100;0;0;0;"";"";"St";1;19;"9960,00";"4095,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 - Bestellware";"Wird gerne für Sie bestellt!"
"109824";"CenturionPro";"CenturionPro Original Electropolished Wet / Dry, Erntemaschine, für feuchte und trockene Ernte";"850019627022";"Normal";"Nein";"Ja";"Nein";100;0;0;0;"";"";"St";1;19;"12490,00";"3971,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 - Bestellware";"Wird gerne für Sie bestellt!"
"109825";"CenturionPro";"CenturionPro Original Quantanium Wet / Dry, Erntemaschine, für feuchte und trockene Ernte";"";"Normal";"Nein";"Ja";"Nein";120;0;0;0;"";"";"St";1;19;"13320,00";"4471,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 - Bestellware";"Wird gerne für Sie bestellt!"
"109832";"CenturionPro";"CenturionPro Gladiator Electropolished Wet / Dry, Erntemaschine, für feuchte und trockene Ernte";"850019627046";"Normal";"Nein";"Ja";"Nein";230;0;0;0;"";"";"St";1;19;"20220,00";"7688,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 - Bestellware";"Wird gerne für Sie bestellt!"
"109833";"CenturionPro";"CenturionPro Gladiator Quantanium Wet / Dry, Erntemaschine, für feuchte und trockene Ernte";"";"Normal";"Nein";"Ja";"Nein";212;0;0;0;"";"";"St";1;19;"21890,00";"8188,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 - Bestellware";"Wird gerne für Sie bestellt!"
