"Artikel-Nr.";"Marke";"Bezeichnung";"EAN";"Status";"Sperrgut";"Palletenartikel";"Nicht für Endkunden";"Gewicht (Kg)";"Höhe (cm)";"Breite (cm)";"Tiefe (cm)";"Nachfolger";"Alternativen";"Einheit";"VE";"MwSt";"Endkundenpreis (€)";"Händlerpreis (€)";"Endkunden-Sonderpreis (€)";"Händler-Sonderpreis (€)";"Rabattstaffel 1 (Menge)";"Rabattstaffel 1 (%)";"Rabattstaffel 1(€)";"Rabattstaffel 2 (Menge)";"Rabattstaffel 2 (%)";"Rabattstaffel 2(€)";"Rabattstaffel 3 (Menge)";"Rabattstaffel 3 (%)";"Rabattstaffel 3(€)";"Rabattstaffel 4 (Menge)";"Rabattstaffel 4 (%)";"Rabattstaffel 4(€)";"Rabattstaffel 5 (Menge)";"Rabattstaffel 5 (%)";"Rabattstaffel 5(€)";"Rabattstaffel 6 (Menge)";"Rabattstaffel 6 (%)";"Rabattstaffel 6(€)";"Bestand";"Kommentar"
"101478";"";"Easy Roll 2.0, 1 Stk., stufenlose Lampenaufhängung, belastbar bis 5 kg";"";"Normal";"Nein";"Nein";"Nein";0,16;9,4;5;4;"";"";"St";1;19;"6,50";"2,35";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 - geringer Bestand";""
"101479";"";"Easy Roll Set, 2 Stk., stufenlose Lampenaufhängung, belastbar bis 10 kg";"";"Normal";"Nein";"Nein";"Nein";0,331762;16;10;4;"";"";"St";1;19;"9,90";"4,50";"";"";"25,000";"3,00";"4,37";"100,000";"6,00";"4,23";"500,000";"10,00";"4,05";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101483";"";"Schraubhaken gebogen HG 11 zu 50 verzinkt";"";"Normal";"Nein";"Nein";"Nein";0,001;5;3;0,4;"";"";"HSt";1;19;"19,90";"7,48";"";"";"5,000";"10,00";"6,73";"15,000";"15,00";"6,36";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101484";"";"M4 x 30 Ringschraube, Haken, passt in REF-1 bis REF-7, verzinkt";"";"Normal";"Nein";"Nein";"Nein";0,455;8;6;4,5;"";"";"HSt";1;19;"4,50";"4,50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101498";"";"Netzstecker mit flexiblem Feuchtraumkabel 1,5 mm², 1,5 m lang";"";"Normal";"Nein";"Nein";"Nein";0,199;25;5;5;"";"";"St";1;19;"5,90";"2,45";"";"1,60";"100,000";"10,00";"2,21";"250,000";"20,00";"1,96";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101501";"";"flexibles Feuchtraumkabel 1,5 mm² dreiadrig, 100 m Rolle";"";"Normal";"Nein";"Nein";"Nein";10,075;33;29;10;"";"";"Rl";3;19;"269,90";"113,32";"";"";"3,000";"5,00";"107,65";"5,000";"10,00";"101,99";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101577";"Ventilution";"Ventilution Mixed In-Line, 145/187 m³/h, für 100 mm, inkl. IEC-Connector";"4823059388167";"Normal";"Nein";"Nein";"Nein";1,745;20,8;17,5;25,7;"";"";"St";8;19;"81,90";"25,22";"";"19,71";"8,000";"3,00";"24,46";"24,000";"8,00";"23,2";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101578";"Ventilution";"Ventilution Mixed In-Line, 220/280 m³/h, für 125 mm Rohr, inkl. IEC-Connector";"4823059388204";"Normal";"Nein";"Nein";"Nein";1,681;20,8;17,5;25,7;"";"";"St";8;19;"86,00";"26,38";"";"20,86";"8,000";"3,00";"25,59";"24,000";"8,00";"24,27";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101580";"Ventilution";"Ventilution Mixed In-Line, 467/552 m³/h, für 160 mm, inkl. IEC-Connector";"4823059388266";"Normal";"Nein";"Nein";"Nein";3,245;30,5;24,5;30;"";"";"St";4;19;"100,30";"53,11";"";"";"8,000";"3,00";"51,52";"24,000";"8,00";"48,86";"";"";"";"";"";"";"";"";"";"";"";"";"2 - geringer Bestand";""
"101581";"Ventilution";"Ventilution Rohrventilator, 250 m³/h, für 100 mm Rohr, Kunststoff";"4260011571135";"Normal";"Nein";"Nein";"Nein";2,585;26;26;26;"";"";"St";1;19;"91,10";"40,68";"";"32,36";"8,000";"3,00";"39,46";"24,000";"8,00";"37,43";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101582";"Ventilution";"Ventilution Rohrventilator, 365 m³/h, für 125 mm Rohr, Kunststoff";"4260011571142";"Normal";"Nein";"Nein";"Nein";2,648;25;26;27;"";"";"St";1;19;"94,20";"42,31";"";"33,87";"10,000";"3,00";"41,04";"30,000";"8,00";"38,93";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101583";"Ventilution";"Ventilution Rohrventilator, 460 m³/h, für 150-160 mm Rohr, Kunststoff";"";"Normal";"Nein";"Nein";"Nein";3,17;30,5;30,5;31;"";"";"St";1;19;"81,00";"43,34";"";"";"10,000";"3,00";"42,04";"30,000";"8,00";"39,87";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101584";"Ventilution";"Ventilution Rohrventilator, 780 m³/h, für 200 mm Rohr, Kunststoff";"";"Normal";"Nein";"Nein";"Nein";3,965;35;35;30;"";"";"St";1;19;"111,70";"56,82";"";"46,22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101586";"Ventilution";"Ventilution Rohrventilator, 1340 m³/h, für 315 mm Rohr, Kunststoff";"4823016260550";"Normal";"Nein";"Nein";"Nein";5,3;29,2;40,5;41;"";"";"St";1;19;"148,60";"66,07";"";"";"10,000";"3,00";"64,09";"30,000";"8,00";"60,78";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101619";"Prima Klima";"Prima Klima Rohrventilator 125AL, 220/360 m³/h, für 125/100 mm Rohr, Kunststoff";"8594171431401";"Normal";"Nein";"Nein";"Nein";2,472;24;27,7;25,8;"";"";"St";1;19;"112,22";"61,50";"";"";"10,000";"5,00";"58,43";"36,000";"10,00";"55,35";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101620";"Prima Klima";"Prima Klima Rohrventilator 160AL, 420/800 m³/h, für 160 mm Rohr, Kunststoff";"8594171431456";"Normal";"Nein";"Nein";"Nein";4,265;37,5;35;25,5;"";"";"St";1;19;"126,90";"76,87";"";"";"10,000";"5,00";"73,03";"36,000";"10,00";"69,18";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101623";"Prima Klima";"Prima Klima Rohrventilator 125, 400 m³/h, ø 125 mm, Temperaturregelung";"8594171431418";"Normal";"Nein";"Nein";"Nein";3,005;28;26;24;"";" 108322";"St";1;19;"156,90";"85,46";"";"76,07";"10,000";"5,00";"81,19";"42,000";"10,00";"76,91";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101624";"Prima Klima";"Prima Klima Rohrventilator 160, 800 m³/h, ø 160 mm, Temperaturregelung";"8594171431463";"Normal";"Nein";"Nein";"Nein";4,39;37,5;35;25;"";"";"St";1;19;"187,10";"123,54";"";"";"10,000";"5,00";"117,36";"36,000";"10,00";"111,19";"";"";"";"";"";"";"";"";"";"";"";"";"3 - im Zulauf";""
"101678";"Ventilution";"Ventilution Axiallüfter, 105 m³/h, für 100 mm Rohr, Stufenanschluss";"4260011571173";"Normal";"Nein";"Nein";"Nein";0,43;11;11;12,5;"";"";"St";24;19;"23,00";"5,65";"";"4,47";"12,000";"3,00";"5,48";"48,000";"8,00";"5,2";"";"";"";"";"";"";"";"";"";"";"";"";"2 - geringer Bestand";""
"101679";"Ventilution";"Ventilution Axiallüfter, 185 m³/h, für 125 mm Rohr, Stufenanschluss";"4260011571180";"Normal";"Nein";"Nein";"Nein";0,56;14;13,5;13;"";"";"St";12;19;"25,20";"8,88";"";"";"12,000";"3,00";"8,61";"48,000";"8,00";"8,17";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101680";"Ventilution";"Ventilution Axiallüfter, 298 m³/h, für 150 mm Rohr, Stufenanschluss";"4260011571197";"Normal";"Nein";"Nein";"Nein";0,88;17;17;14;"";"";"St";24;19;"37,70";"9,45";"";"7,54";"10,000";"3,00";"9,17";"36,000";"8,00";"8,69";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101681";"Ventilution";"Ventilution Axiallüfter, 105 m³/h, für 100 mm Rohr, gerader Anschluss";"4823016238108";"Normal";"Nein";"Nein";"Nein";0,46;11,5;11,5;12;"";"";"St";24;19;"21,90";"6,43";"";"";"12,000";"3,00";"6,24";"48,000";"8,00";"5,92";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101682";"Ventilution";"Ventilution Axiallüfter, 185 m³/h, für 125 mm Rohr, gerader Anschluss";"4823016238122";"Normal";"Nein";"Nein";"Nein";0,58;14;14;13;"";"";"St";12;19;"24,00";"7,32";"";"";"12,000";"3,00";"7,1";"48,000";"8,00";"6,73";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101683";"Ventilution";"Ventilution Axiallüfter, 298 m³/h, für 150 mm Rohr, gerader Anschluss";"";"Normal";"Nein";"Nein";"Nein";0,864;14;16,5;16,5;"";"";"St";12;19;"35,60";"9,45";"";"";"12,000";"3,00";"9,17";"48,000";"8,00";"8,69";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101685";"Ventilution";"Ventilution Luftfilter-Box, inkl. Grobstaubfilter, ø 125 mm";"";"Normal";"Nein";"Nein";"Nein";1,7;22;25;25;"";"";"St";1;19;"57,60";"26,13";"";"20,19";"10,000";"3,00";"25,35";"60,000";"8,00";"24,04";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101686";"Ventilution";"Ventilution Luftfilter-Box, inkl. Grobstaubfilter, ø 150 mm";"";"Normal";"Nein";"Nein";"Nein";2,164;24,4;26,7;30,5;"";"";"St";1;19;"58,70";"28,00";"";"";"10,000";"5,00";"26,6";"25,000";"10,00";"25,2";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101689";"Ventilution";"Ventilution Luftfilter-Box, inkl. Grobstaubfilter, ø 250 mm";"";"Normal";"Nein";"Nein";"Nein";3,755;39,5;33,5;34,5;"";"";"St";25;19;"83,90";"37,72";"";"";"10,000";"3,00";"36,59";"50,000";"8,00";"34,7";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101690";"Ventilution";"Ventilution Luftfilter-Box, inkl. Grobstaubfilter, ø 315 mm";"4823016208453";"Normal";"Nein";"Nein";"Nein";5,685;45,5;44,5;40,5;"";"";"St";10;19;"101,70";"50,00";"";"";"10,000";"3,00";"48,5";"30,000";"8,00";"46";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";"Wird gerne für Sie bestellt!"
"101693";"Ventilution";"Ventilution Grobstaubfilter für Luftfilter-Box, ø 150 mm (Art. 101686)";"";"Normal";"Nein";"Nein";"Nein";0,13;30;23;0,5;"";"";"St";30;19;"6,20";"2,80";"";"2,21";"10,000";"3,00";"2,72";"60,000";"8,00";"2,58";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101697";"Ventilution";"Ventilution Grobstaubfilter für Luftfilter-Box, ø 315 mm (Art. 101690)";"4824032302224";"Normal";"Nein";"Nein";"Nein";0,245;0,8;38,5;52,2;"";"";"St";25;19;"10,40";"4,30";"";"3,51";"10,000";"3,00";"4,17";"40,000";"8,00";"3,96";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101714";"Ventilution";"Ventilution Schalldämpfer für Lüftungsrohre, ø 100 mm, L = 60 cm";"4823016212894";"Normal";"Nein";"Nein";"Nein";3,6;71,5;21,5;21,5;"";"";"St";1;19;"77,60";"21,32";"";"";"10,000";"3,00";"20,68";"30,000";"8,00";"19,61";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101715";"Ventilution";"Ventilution Schalldämpfer für Lüftungsrohre, ø 125 mm, L = 60 cm";"4823016212917";"Normal";"Nein";"Nein";"Nein";4,01;71;24;24;"";"";"St";1;19;"87,00";"23,69";"";"";"10,000";"3,00";"22,98";"30,000";"8,00";"21,79";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101716";"Ventilution";"Ventilution Schalldämpfer für Lüftungsrohre, ø 150 mm, L = 60 cm";"4823016212931";"Normal";"Nein";"Nein";"Nein";4,31;70;27,5;28;"";"";"St";1;19;"104,90";"30,38";"";"";"10,000";"3,00";"29,47";"30,000";"8,00";"27,95";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101717";"Ventilution";"Ventilution Schalldämpfer für Lüftungsrohre, ø 160 mm, L = 60 cm";"4823016212955";"Normal";"Nein";"Nein";"Nein";4,77;70,5;27,5;27,5;"";"";"St";1;19;"99,60";"28,36";"";"";"10,000";"3,00";"27,51";"30,000";"8,00";"26,09";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101718";"Ventilution";"Ventilution Schalldämpfer für Lüftungsrohre, ø 200 mm, L = 90 cm";"4823016212986";"Normal";"Nein";"Nein";"Nein";8,44;101;32,5;33;"";"";"St";1;19;"150,00";"48,86";"";"";"10,000";"3,00";"47,39";"30,000";"8,00";"44,95";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101719";"Ventilution";"Ventilution Schalldämpfer für Lüftungsrohre, ø 250 mm, L = 90 cm";"4823016213006";"Normal";"Nein";"Nein";"Nein";9,8;101,5;36,5;37;"";"";"St";1;19;"167,90";"53,52";"";"";"10,000";"3,00";"51,91";"30,000";"8,00";"49,24";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101720";"Ventilution";"Ventilution Schalldämpfer für Lüftungsrohre, ø 315 mm, L = 90 cm";"";"Normal";"Nein";"Nein";"Nein";13,685;101;43;42;"";"";"St";1;19;"188,90";"64,02";"";"52,59";"10,000";"3,00";"62,1";"30,000";"8,00";"58,9";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101802";"Ventilution";"Anschluss, Metall, für ø 100 mm";"";"Normal";"Nein";"Nein";"Nein";0,105;12,5;12,5;5;"";"";"St";36;19;"5,10";"1,24";"";"";"12,000";"3,00";"1,2";"36,000";"8,00";"1,14";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101804";"";"Anschluss, Metall, für ø 150 mm";"";"Normal";"Nein";"Nein";"Nein";0,083;17;17;3;"";"";"St";1;19;"6,90";"1,74";"";"1,35";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101805";"";"Anschluss, Metall, für ø 160 mm";"";"Normal";"Nein";"Nein";"Nein";0,09;18;18;3,5;"";"";"St";1;19;"6,90";"1,80";"";"";"5,000";"3,00";"1,75";"15,000";"5,00";"1,71";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101806";"";"Anschluss, Metall, für ø 200 mm";"";"Normal";"Nein";"Nein";"Nein";0,221;22;22;5,5;"";"";"St";1;19;"7,90";"2,01";"";"";"5,000";"3,00";"1,95";"15,000";"5,00";"1,91";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101808";"";"Anschluss, Metall, für ø 315 mm";"";"Normal";"Nein";"Nein";"Nein";0,43;34;34;7;"";"";"St";1;19;"7,20";"3,01";"";"";"5,000";"3,00";"2,92";"15,000";"5,00";"2,86";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101809";"Ventilution";"Ventilution Wandflansch, Metall, für ø 100 mm";"4823016214065";"Normal";"Nein";"Nein";"Nein";0,155;15;15;5;"";"";"St";36;19;"15,90";"2,97";"";"2,43";"12,000";"3,00";"2,88";"36,000";"8,00";"2,73";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101810";"Ventilution";"Ventilution Wandflansch, Metall, für ø 125 mm";"4823016214096";"Normal";"Nein";"Nein";"Nein";0,19;17;17;5,5;"";"";"St";27;19;"15,90";"3,41";"";"";"10,000";"3,00";"3,31";"27,000";"8,00";"3,14";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101812";"Ventilution";"Ventilution Wandflansch, Metall, für ø 160 mm";"4823016214133";"Normal";"Nein";"Nein";"Nein";0,244;21;21;5;"";"";"St";16;19;"17,90";"3,79";"";"";"10,000";"3,00";"3,68";"32,000";"8,00";"3,49";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101813";"Ventilution";"Ventilution Wandflansch, Metall, für ø 200 mm";"4823016214157";"Normal";"Nein";"Nein";"Nein";0,25;25;25;6;"";"";"St";24;19;"19,90";"4,91";"";"";"12,000";"3,00";"4,76";"48,000";"8,00";"4,52";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101814";"Ventilution";"Ventilution Wandflansch, Metall, für ø 250 mm";"4823016214164";"Normal";"Nein";"Nein";"Nein";0,405;5,6;30;30;"";"";"St";10;19;"21,90";"5,95";"";"";"10,000";"3,00";"5,77";"30,000";"8,00";"5,47";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101815";"Ventilution";"Ventilution Wandflansch, Metall, für ø 315 mm";"4823016214171";"Normal";"Nein";"Nein";"Nein";0,534;5,6;36;36;"";"";"St";8;19;"19,99";"7,93";"";"";"8,000";"3,00";"7,69";"24,000";"8,00";"7,3";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101817";"Ventilution";"Ventilution Reduzierstück, Metall, ø 125 mm auf 100 mm";"4823016207463";"Normal";"Nein";"Nein";"Nein";0,203;12;13;13;"";" 101891";"St";22;19;"8,50";"4,50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101820";"Ventilution";"Ventilution Reduzierstück, Metall, ø 160 mm auf 100 mm";"";"Normal";"Nein";"Nein";"Nein";0,475;16;16;19;"";"";"St";1;19;"10,10";"5,16";"";"";"5,000";"3,00";"5,01";"15,000";"5,00";"4,9";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101821";"Ventilution";"Ventilution Reduzierstück, Metall, ø 160 mm auf 125 mm";"4823016200969";"Normal";"Nein";"Nein";"Nein";0,355;16,5;16,5;14,5;"";"";"St";1;19;"12,50";"5,75";"";"";"12,000";"3,00";"5,58";"36,000";"8,00";"5,29";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101824";"Ventilution";"Ventilution Reduzierstück, Metall, ø 200 mm auf 160 mm";"4823016205919";"Normal";"Nein";"Nein";"Nein";0,363;20;20;15;"";"";"St";1;19;"15,60";"8,00";"";"";"10,000";"3,00";"7,76";"54,000";"8,00";"7,36";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101826";"Ventilution";"Ventilution Reduzierstück, Metall, ø 250 mm auf 160 mm";"";"Normal";"Nein";"Nein";"Nein";0,47;25;25;14;"";"";"St";1;19;"21,60";"10,11";"";"";"5,000";"3,00";"9,81";"15,000";"5,00";"9,6";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101827";"Ventilution";"Ventilution Reduzierstück, Metall, ø 250 mm auf 200 mm";"4823016205865";"Normal";"Nein";"Nein";"Nein";0,481;16;26;26;"";"";"St";10;19;"19,80";"10,00";"";"";"10,000";"3,00";"9,7";"30,000";"8,00";"9,2";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101830";"Ventilution";"Ventilution Reduzierstück, Metall, ø 315 mm auf 160 mm";"";"Normal";"Nein";"Nein";"Nein";0,66;31;31;16;"";"";"St";1;19;"20,90";"10,00";"";"";"5,000";"3,00";"9,7";"10,000";"5,00";"9,5";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101831";"Ventilution";"Ventilution Reduzierstück, Metall, ø 315 mm auf 200 mm";"";"Normal";"Nein";"Nein";"Nein";0,58;31;31;14,5;"";"";"St";20;19;"26,40";"11,06";"";"";"5,000";"3,00";"10,73";"15,000";"5,00";"10,51";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101832";"Ventilution";"Ventilution Reduzierstück, Metall, ø 315 mm auf 250 mm";"4823016205995";"Normal";"Nein";"Nein";"Nein";0,68;32;32;18;"";"";"St";8;19;"26,10";"14,00";"";"";"8,000";"3,00";"13,58";"24,000";"8,00";"12,88";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101842";"Ventilution";"Ventilution Y-Stück, Metall, für ø 125 mm";"4823059321676";"Normal";"Nein";"Nein";"Nein";0,312;12,5;19,5;19,5;"";"";"St";12;19;"33,70";"6,90";"";"";"10,000";"3,00";"6,69";"26,000";"8,00";"6,35";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101844";"Ventilution";"Ventilution Y-Stück, Metall, für ø 160 mm";"4823059321799";"Normal";"Nein";"Nein";"Nein";0,477;22,5;16,5;26;"";"";"St";8;19;"40,00";"8,20";"";"";"8,000";"3,00";"7,95";"24,000";"8,00";"7,54";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101845";"Ventilution";"Ventilution Y-Stück, Metall, für ø 200 mm";"4823016205674";"Normal";"Nein";"Nein";"Nein";0,635;31;20;26;"";"";"St";5;19;"49,00";"10,82";"";"";"10,000";"3,00";"10,5";"30,000";"8,00";"9,95";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101846";"Ventilution";"Ventilution Y-Stück, Metall, für ø 250 mm";"4823016217578";"Normal";"Nein";"Nein";"Nein";1,01;33,5;39;25;"";"";"St";4;19;"47,30";"13,29";"";"";"8,000";"3,00";"12,89";"24,000";"8,00";"12,23";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101849";"Ventilution";"Ventilution T-Stück, Metall, für ø 125 mm";"4823016217776";"Normal";"Nein";"Nein";"Nein";0,394;21,2;17,5;12,5;"";"";"St";16;19;"14,60";"5,75";"";"";"10,000";"3,00";"5,58";"32,000";"8,00";"5,29";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101851";"Ventilution";"Ventilution T-Stück, Metall, für ø 160 mm";"4823016206077";"Normal";"Nein";"Nein";"Nein";0,588;25;20,5;16;"";"";"St";8;19;"23,00";"6,89";"";"";"8,000";"3,00";"6,68";"24,000";"8,00";"6,34";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101852";"Ventilution";"Ventilution T-Stück, Metall, für ø 200 mm";"4823016204325";"Normal";"Nein";"Nein";"Nein";0,8;29;20;25;"";"";"St";5;19;"31,40";"8,99";"";"7,04";"10,000";"3,00";"8,72";"30,000";"8,00";"8,27";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101853";"Ventilution";"Ventilution T-Stück, Metall, für ø 250 mm";"4823016206084";"Normal";"Nein";"Nein";"Nein";1,235;35;24,5;30;"";"";"St";4;19;"34,50";"10,85";"";"8,74";"8,000";"3,00";"10,52";"24,000";"8,00";"9,98";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101854";"Ventilution";"Ventilution T-Stück, Metall, für ø 315 mm";"4823016206091";"Normal";"Nein";"Nein";"Nein";1,755;37;31,5;41,5;"";"";"St";2;19;"49,20";"16,00";"";"12,58";"10,000";"3,00";"15,52";"30,000";"8,00";"14,72";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";"Wird gerne für Sie bestellt!"
"101877";"";"Verbindungsmanschette, Metall, für ø 100 mm";"8716236141845";"Normal";"Nein";"Nein";"Nein";0,12;38;6;2,5;"";"";"St";10;19;"8,90";"4,22";"";"";"12,000";"3,00";"4,09";"50,000";"8,00";"3,88";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101878";"";"Verbindungsmanschette, Metall, für ø 125 mm";"8716236141869";"Normal";"Nein";"Nein";"Nein";0,14;45;6;2;"";"";"St";10;19;"9,90";"4,92";"";"";"12,000";"3,00";"4,77";"50,000";"8,00";"4,53";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101879";"";"Verbindungsmanschette, Metall, für ø 150 mm";"8716236141883";"Normal";"Nein";"Nein";"Nein";0,165;54;6;2,5;"";"";"St";10;19;"12,90";"5,96";"";"";"10,000";"3,00";"5,78";"40,000";"8,00";"5,48";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101880";"";"Verbindungsmanschette, Metall, für ø 160 mm";"8716236141890";"Normal";"Nein";"Nein";"Nein";0,2;2,5;6;57;"";"";"St";10;19;"10,90";"5,82";"";"";"10,000";"3,00";"5,65";"40,000";"8,00";"5,35";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101881";"";"Verbindungsmanschette, Metall, für ø 200 mm";"8716236141920";"Normal";"Nein";"Nein";"Nein";0,2;68,5;6;2;"";"";"St";10;19;"11,90";"6,70";"";"4,97";"10,000";"3,00";"6,5";"30,000";"8,00";"6,16";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101882";"";"Verbindungsmanschette, Metall, für ø 250 mm";"8716236141951";"Normal";"Nein";"Nein";"Nein";0,235;84;6;2;"";"";"St";10;19;"12,90";"7,41";"";"";"10,000";"3,00";"7,19";"30,000";"8,00";"6,82";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101883";"";"Verbindungsmanschette, Metall, für ø 315 mm";"8716240000000";"Normal";"Nein";"Nein";"Nein";0,285;104,5;6;2,5;"";"";"St";10;19;"14,90";"8,11";"";"";"10,000";"3,00";"7,87";"30,000";"8,00";"7,46";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"101885";"";"Dichtband, Gewebeband, silber, 50 mm x 50 m";"";"Normal";"Nein";"Nein";"Nein";0,305;11,5;11,5;5;"";"";"St";24;19;"10,90";"3,96";"";"";"12,000";"5,00";"3,76";"24,000";"10,00";"3,56";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"101887";"Ventilution";"Ventilution Reduzierstück, Kunststoff, ø 150 mm auf 125 mm";"";"Normal";"Nein";"Nein";"Nein";0,05;6;15,5;15,5;"";" 101891";"St";55;19;"3,90";"0,88";"";"";"10,000";"3,00";"0,85";"55,000";"8,00";"0,81";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
